date,region,product,units,price
2025-08-17,North,ago,4,74.41
2025-09-04,South,election,29,14.81
2025-06-03,North,since,87,74.33
2025-05-12,North,sit,76,42.77
2025-10-01,North,begin,12,22.65
2025-08-08,North,almost,72,20.68
2025-04-29,West,discover,29,45.47
2025-06-04,East,play,1,76.12
2025-04-28,South,decide,90,42.84
2025-08-30,East,science,20,22.32
2025-07-31,East,discussion,14,10.18
2025-07-13,North,fall,46,84.9
2025-09-16,East,according,6,73.24
2025-09-07,North,collection,49,8.8
2025-08-27,East,grow,81,62.23
2025-06-13,East,dinner,74,20.04
2025-10-13,North,great,6,66.47
2025-05-12,East,husband,11,85.68
2025-05-11,North,throw,49,28.52
2025-06-24,East,everything,21,37.65
2025-09-16,South,show,86,27.43
2025-07-15,North,capital,78,63.86
2025-10-16,South,human,21,46.76
2025-05-08,East,finally,82,69.13
2025-09-20,South,present,88,33.1
2025-09-30,North,high,30,82.36
2025-08-05,East,sea,52,27.51
2025-05-06,South,recently,73,87.76
2025-06-04,East,figure,28,65.89
2025-10-18,West,top,83,46.43
